fact_sk,snapshot_day,src_region_file,src_file,customer_sk,policy_sk,policy_type_sk,address_sk,total_policy_amt,premium_amt,premium_amt_paid_tilldate,next_premium_dt,actual_premium_paid_dt
224,0,Central,Insurance_details_US_Central_day0.csv,442.0,296.0,12,645,200000,2000,72000,2010-01-31,2010-02-28
225,0,Central,Insurance_details_US_Central_day0.csv,880.0,222.0,2,281,500000,5000,60000,2013-03-31,2013-09-25
226,0,Central,Insurance_details_US_Central_day0.csv,274.0,20.0,1,821,400000,60000,60000,2014-07-01,2015-01-01
227,0,Central,Insurance_details_US_Central_day0.csv,1008.0,233.0,2,628,500000,5000,60000,2011-03-31,2011-09-25
228,0,Central,Insurance_details_US_Central_day0.csv,28.0,85.0,2,385,500000,5000,60000,2009-03-31,2009-09-25
229,0,Central,Insurance_details_US_Central_day0.csv,478.0,152.0,2,757,500000,5000,60000,2009-03-31,2009-09-25
230,0,Central,Insurance_details_US_Central_day0.csv,705.0,54.0,1,170,400000,60000,60000,2011-07-01,2012-01-01
231,0,Central,Insurance_details_US_Central_day0.csv,90.0,6.0,1,31,400000,60000,60000,2015-07-01,2016-01-01
232,0,Central,Insurance_details_US_Central_day0.csv,219.0,112.0,2,801,500000,5000,60000,2014-03-31,2014-09-25
233,0,Central,Insurance_details_US_Central_day0.csv,137.0,100.0,2,784,500000,5000,60000,2006-03-31,2006-09-25
234,0,Central,Insurance_details_US_Central_day0.csv,109.0,9.0,1,409,400000,60000,60000,2016-06-30,2016-12-31
235,0,Central,Insurance_details_US_Central_day0.csv,974.0,229.0,2,162,500000,5000,60000,2006-03-31,2006-09-25
236,0,Central,Insurance_details_US_Central_day0.csv,749.0,202.0,2,1036,500000,5000,60000,2013-03-31,2013-09-25
237,0,Central,Insurance_details_US_Central_day0.csv,414.0,32.0,1,846,400000,60000,60000,2008-06-30,2008-12-31
238,0,Central,Insurance_details_US_Central_day0.csv,743.0,200.0,2,580,500000,5000,60000,2015-03-31,2015-09-25
239,0,Central,Insurance_details_US_Central_day0.csv,280.0,118.0,2,494,500000,5000,60000,2010-03-31,2010-09-25
240,0,Central,Insurance_details_US_Central_day0.csv,48.0,88.0,2,158,500000,5000,60000,2016-03-30,2016-09-24
241,0,Central,Insurance_details_US_Central_day0.csv,286.0,122.0,2,250,500000,5000,60000,2018-03-31,2018-09-25
242,0,Central,Insurance_details_US_Central_day0.csv,153.0,103.0,2,428,500000,5000,60000,2009-03-31,2009-09-25
243,0,Central,Insurance_details_US_Central_day0.csv,248.0,117.0,2,1047,500000,5000,60000,2009-03-31,2009-09-25
244,0,Central,Insurance_details_US_Central_day0.csv,540.0,171.0,2,660,500000,5000,60000,2018-03-31,2018-09-25
245,0,Central,Insurance_details_US_Central_day0.csv,355.0,133.0,2,358,500000,5000,60000,2010-03-31,2010-09-25
246,0,Central,Insurance_details_US_Central_day0.csv,693.0,188.0,2,434,500000,5000,60000,2017-03-31,2017-09-25
247,0,Central,Insurance_details_US_Central_day0.csv,1013.0,322.0,12,872,200000,2000,72000,2006-01-31,2006-02-28
248,0,Central,Insurance_details_US_Central_day0.csv,163.0,278.0,12,12,200000,2000,72000,2011-01-31,2011-02-28
249,0,Central,Insurance_details_US_Central_day0.csv,918.0,66.0,1,725,400000,60000,60000,2016-06-30,2016-12-31
250,0,Central,Insurance_details_US_Central_day0.csv,1015.0,235.0,2,22,500000,5000,60000,2014-03-31,2014-09-25
251,0,Central,Insurance_details_US_Central_day0.csv,206.0,110.0,2,1125,500000,5000,60000,2007-03-31,2007-09-25
252,0,Central,Insurance_details_US_Central_day0.csv,623.0,183.0,2,1032,500000,5000,60000,2013-03-31,2013-09-25
253,0,Central,Insurance_details_US_Central_day0.csv,800.0,214.0,2,1060,500000,5000,60000,2011-03-31,2011-09-25
254,0,Central,Insurance_details_US_Central_day0.csv,56.0,92.0,2,976,500000,5000,60000,2013-03-31,2013-09-25
255,0,Central,Insurance_details_US_Central_day0.csv,971.0,69.0,1,361,400000,60000,120000,2017-07-01,2018-01-01
256,0,Central,Insurance_details_US_Central_day0.csv,473.0,298.0,12,68,200000,2000,72000,2007-01-31,2007-02-28
257,0,Central,Insurance_details_US_Central_day0.csv,1139.0,79.0,1,1017,400000,60000,60000,2009-07-01,2010-01-01
258,0,Central,Insurance_details_US_Central_day0.csv,735.0,57.0,1,147,400000,60000,60000,2012-06-30,2012-12-31
259,0,Central,Insurance_details_US_Central_day0.csv,229.0,283.0,12,773,200000,2000,72000,2015-01-31,2015-02-28
260,0,Central,Insurance_details_US_Central_day0.csv,358.0,135.0,2,588,500000,5000,60000,2017-03-31,2017-09-25
261,0,Central,Insurance_details_US_Central_day0.csv,773.0,209.0,2,452,500000,5000,60000,2015-03-31,2015-09-25
262,0,Central,Insurance_details_US_Central_day0.csv,338.0,290.0,12,265,200000,2000,72000,2011-01-31,2011-02-28
263,0,Central,Insurance_details_US_Central_day0.csv,351.0,131.0,2,1012,500000,5000,60000,2013-03-31,2013-09-25
264,0,Central,Insurance_details_US_Central_day0.csv,740.0,197.0,2,621,500000,5000,60000,2014-03-31,2014-09-25
265,0,Central,Insurance_details_US_Central_day0.csv,1036.0,325.0,12,85,200000,2000,72000,2013-01-31,2013-02-28
266,0,Central,Insurance_details_US_Central_day0.csv,592.0,177.0,2,51,500000,5000,60000,2012-03-30,2012-09-24
267,0,Central,Insurance_details_US_Central_day0.csv,1101.0,326.0,12,132,200000,2000,72000,2009-01-31,2009-02-28
268,0,Central,Insurance_details_US_Central_day0.csv,826.0,217.0,2,558,500000,5000,60000,2010-03-31,2010-09-25
269,0,Central,Insurance_details_US_Central_day0.csv,566.0,44.0,1,686,400000,60000,60000,2013-07-01,2014-01-01
270,0,Central,Insurance_details_US_Central_day0.csv,277.0,286.0,12,404,200000,2000,72000,2008-01-31,2008-02-28
271,0,Central,Insurance_details_US_Central_day0.csv,356.0,134.0,2,332,500000,5000,60000,2017-03-31,2017-09-25
272,0,Central,Insurance_details_US_Central_day0.csv,1088.0,242.0,2,570,500000,5000,60000,2010-03-31,2010-09-25
273,0,Central,Insurance_details_US_Central_day0.csv,303.0,22.0,1,463,400000,60000,60000,2014-07-01,2015-01-01
274,0,Central,Insurance_details_US_Central_day0.csv,157.0,15.0,1,342,400000,60000,120000,2017-07-01,2018-01-01
275,0,Central,Insurance_details_US_Central_day0.csv,483.0,154.0,2,462,500000,5000,60000,2010-03-31,2010-09-25
276,0,Central,Insurance_details_US_Central_day0.csv,1014.0,323.0,12,298,200000,2000,72000,2015-01-31,2015-02-28
277,0,Central,Insurance_details_US_Central_day0.csv,838.0,313.0,12,283,200000,2000,72000,2017-01-31,2017-02-28
278,0,Central,Insurance_details_US_Central_day0.csv,304.0,126.0,2,1151,500000,5000,60000,2014-03-31,2014-09-25
279,0,Central,Insurance_details_US_Central_day0.csv,915.0,224.0,2,764,500000,5000,60000,2015-03-31,2015-09-25
280,0,Central,Insurance_details_US_Central_day0.csv,756.0,206.0,2,443,500000,5000,60000,2015-03-31,2015-09-25
281,0,Central,Insurance_details_US_Central_day0.csv,348.0,25.0,1,206,400000,60000,120000,2017-07-01,2018-01-01
282,0,Central,Insurance_details_US_Central_day0.csv,933.0,317.0,12,465,200000,2000,72000,2017-01-31,2017-02-28
283,0,Central,Insurance_details_US_Central_day0.csv,30.0,269.0,12,460,200000,2000,72000,2008-01-31,2008-02-28
284,0,Central,Insurance_details_US_Central_day0.csv,661.0,47.0,1,446,400000,60000,60000,2007-07-01,2008-01-01
285,0,Central,Insurance_details_US_Central_day0.csv,764.0,208.0,2,1065,500000,5000,60000,2007-03-31,2007-09-25
286,0,Central,Insurance_details_US_Central_day0.csv,681.0,49.0,1,1022,400000,60000,60000,2009-07-01,2010-01-01
287,0,Central,Insurance_details_US_Central_day0.csv,753.0,203.0,2,124,500000,5000,60000,2015-03-31,2015-09-25
288,0,Central,Insurance_details_US_Central_day0.csv,423.0,294.0,12,905,200000,2000,72000,2010-01-31,2010-02-28
289,0,Central,Insurance_details_US_Central_day0.csv,1038.0,72.0,1,604,400000,60000,60000,2014-07-01,2015-01-01
290,0,Central,Insurance_details_US_Central_day0.csv,555.0,172.0,2,415,500000,5000,60000,2017-03-31,2017-09-25
291,0,Central,Insurance_details_US_Central_day0.csv,1138.0,246.0,2,815,500000,5000,60000,2010-03-31,2010-09-25
292,0,Central,Insurance_details_US_Central_day0.csv,531.0,167.0,2,1140,500000,5000,60000,2015-03-31,2015-09-25
293,0,Central,Insurance_details_US_Central_day0.csv,535.0,169.0,2,398,500000,5000,60000,2012-03-30,2012-09-24
294,0,Central,Insurance_details_US_Central_day0.csv,935.0,67.0,1,826,400000,60000,120000,2017-07-01,2018-01-01
295,0,Central,Insurance_details_US_Central_day0.csv,982.0,230.0,2,689,500000,5000,60000,2015-03-31,2015-09-25
296,0,Central,Insurance_details_US_Central_day0.csv,26.0,83.0,2,248,500000,5000,60000,2018-03-31,2018-09-25
297,0,Central,Insurance_details_US_Central_day0.csv,99.0,275.0,12,1014,200000,2000,72000,2015-01-31,2015-02-28
298,0,Central,Insurance_details_US_Central_day0.csv,392.0,30.0,1,74,400000,60000,60000,2008-06-30,2008-12-31
299,0,Central,Insurance_details_US_Central_day0.csv,302.0,21.0,1,858,400000,60000,60000,2015-07-01,2016-01-01
300,0,Central,Insurance_details_US_Central_day0.csv,696.0,307.0,12,469,200000,2000,72000,2017-01-31,2017-02-28
301,0,Central,Insurance_details_US_Central_day0.csv,582.0,173.0,2,62,500000,5000,60000,2018-03-31,2018-09-25
302,0,Central,Insurance_details_US_Central_day0.csv,815.0,61.0,1,767,400000,60000,60000,2008-06-30,2008-12-31
303,0,Central,Insurance_details_US_Central_day0.csv,176.0,106.0,2,261,500000,5000,60000,2015-03-31,2015-09-25
304,0,Central,Insurance_details_US_Central_day0.csv,371.0,138.0,2,700,500000,5000,60000,2011-03-31,2011-09-25
305,0,Central,Insurance_details_US_Central_day0.csv,591.0,176.0,2,825,500000,5000,60000,2017-03-31,2017-09-25
306,0,Central,Insurance_details_US_Central_day0.csv,147.0,13.0,1,659,400000,60000,60000,2012-06-30,2012-12-31
307,0,Central,Insurance_details_US_Central_day0.csv,167.0,279.0,12,1063,200000,2000,72000,2010-01-31,2010-02-28
308,0,Central,Insurance_details_US_Central_day0.csv,244.0,115.0,2,213,500000,5000,60000,2007-03-31,2007-09-25
309,0,Central,Insurance_details_US_Central_day0.csv,424.0,144.0,2,1000,500000,5000,60000,2008-03-30,2008-09-24
310,0,Central,Insurance_details_US_Central_day0.csv,337.0,129.0,2,1144,500000,5000,60000,2015-03-31,2015-09-25
311,0,Central,Insurance_details_US_Central_day0.csv,727.0,310.0,12,547,200000,2000,72000,2017-01-31,2017-02-28
312,0,Central,Insurance_details_US_Central_day0.csv,169.0,280.0,12,581,200000,2000,72000,2013-01-31,2013-02-28
313,0,Central,Insurance_details_US_Central_day0.csv,1142.0,247.0,2,922,500000,5000,60000,2010-03-31,2010-09-25
314,0,Central,Insurance_details_US_Central_day0.csv,534.0,168.0,2,593,500000,5000,60000,2011-03-31,2011-09-25
315,1,Central,Insurance_details_US_Central_day1.csv,130.0,255.0,5,2,500000,5000,60000,2013-03-30,2013-09-24
316,1,Central,Insurance_details_US_Central_day1.csv,1044.0,258.0,6,950,500000,5000,60000,2014-07-01,2015-01-01
317,1,Central,Insurance_details_US_Central_day1.csv,1029.0,261.0,7,169,500000,5000,60000,2015-03-31,2015-09-25
318,1,Central,Insurance_details_US_Central_day1.csv,320.0,264.0,8,958,500000,5000,60000,2016-03-31,2016-09-25
319,1,Central,Insurance_details_US_Central_day1.csv,781.0,267.0,9,1113,500000,5000,60000,2013-03-30,2013-09-24
320,1,Central,Insurance_details_US_Central_day1.csv,994.0,249.0,3,1129,500000,5000,60000,2014-03-31,2014-09-25
321,1,Central,Insurance_details_US_Central_day1.csv,403.0,252.0,4,582,400000,60000,120000,2015-03-31,2015-09-25
322,1,Central,Insurance_details_US_Central_day1.csv,978.0,252.0,4,291,400000,60000,120000,2015-03-31,2015-09-25
323,2,Central,Insurance_details_US_Central_day2.csv,131.0,256.0,5,2,500000,5000,60000,2014-03-30,2014-09-30
324,2,Central,Insurance_details_US_Central_day2.csv,1045.0,259.0,6,950,500000,5000,60000,2015-07-01,2016-07-01
325,2,Central,Insurance_details_US_Central_day2.csv,1030.0,262.0,7,169,500000,5000,60000,2016-03-31,2016-12-31
326,2,Central,Insurance_details_US_Central_day2.csv,321.0,265.0,8,958,500000,5000,60000,2017-03-31,2017-12-31
327,2,Central,Insurance_details_US_Central_day2.csv,782.0,268.0,9,1113,500000,5000,60000,2014-03-30,2014-12-30
328,2,Central,Insurance_details_US_Central_day2.csv,995.0,250.0,3,1129,500000,5000,60000,2015-03-31,2015-12-31
329,2,Central,Insurance_details_US_Central_day2.csv,404.0,253.0,4,582,400000,60000,120000,2016-03-31,2016-12-31
330,2,Central,Insurance_details_US_Central_day2.csv,978.0,253.0,4,291,400000,60000,120000,2015-03-31,2015-09-25
331,2,Central,Insurance_details_US_Central_day2.csv,1031.0,253.0,4,565,400000,60000,120000,2015-03-31,2015-09-25
332,0,East,Insurance_details_US_East_day0.csv,327.0,447.0,2,487,500000,5000,60000,2015-07-01,2016-01-01
333,0,East,Insurance_details_US_East_day0.csv,604.0,478.0,2,941,500000,5000,60000,2011-03-31,2011-09-25
334,0,East,Insurance_details_US_East_day0.csv,940.0,534.0,2,990,500000,5000,60000,2011-04-02,2011-09-27
335,0,East,Insurance_details_US_East_day0.csv,751.0,508.0,2,413,500000,5000,60000,2013-03-31,2013-09-25
336,0,East,Insurance_details_US_East_day0.csv,859.0,377.0,10,266,400000,60000,60000,2009-07-01,2010-01-01
337,0,East,Insurance_details_US_East_day0.csv,425.0,354.0,10,837,400000,60000,60000,2009-03-31,2009-09-25
338,0,East,Insurance_details_US_East_day0.csv,158.0,417.0,2,589,500000,5000,60000,2009-03-31,2009-09-25
339,0,East,Insurance_details_US_East_day0.csv,924.0,628.0,12,224,200000,2000,72000,2010-07-01,2011-01-01
340,0,East,Insurance_details_US_East_day0.csv,1125.0,639.0,12,520,200000,2000,72000,2010-04-03,2010-09-28
341,0,East,Insurance_details_US_East_day0.csv,671.0,491.0,2,1154,500000,5000,60000,2010-07-01,2011-01-01
342,0,East,Insurance_details_US_East_day0.csv,889.0,622.0,12,808,200000,2000,72000,2010-03-31,2010-09-25
343,0,East,Insurance_details_US_East_day0.csv,207.0,428.0,2,573,500000,5000,60000,2010-02-01,2010-03-01
344,0,East,Insurance_details_US_East_day0.csv,852.0,520.0,2,733,500000,5000,60000,2010-04-01,2010-09-26
345,0,East,Insurance_details_US_East_day0.csv,307.0,442.0,2,708,500000,5000,60000,2009-03-31,2009-09-25
346,0,East,Insurance_details_US_East_day0.csv,170.0,421.0,2,254,500000,5000,60000,2009-03-31,2009-09-25
347,0,East,Insurance_details_US_East_day0.csv,794.0,616.0,12,1088,200000,2000,72000,2010-04-01,2010-09-26
348,0,East,Insurance_details_US_East_day0.csv,465.0,357.0,10,1133,400000,60000,60000,2010-02-02,2010-03-02
349,0,East,Insurance_details_US_East_day0.csv,256.0,437.0,2,861,500000,5000,60000,2009-03-31,2009-09-25
350,0,East,Insurance_details_US_East_day0.csv,62.0,334.0,10,439,400000,60000,60000,2009-03-31,2009-09-25
351,0,East,Insurance_details_US_East_day0.csv,88.0,594.0,12,1059,200000,2000,72000,2011-07-03,2012-01-03
352,0,East,Insurance_details_US_East_day0.csv,372.0,601.0,12,292,200000,2000,72000,2010-01-31,2010-02-28
353,0,East,Insurance_details_US_East_day0.csv,242.0,599.0,12,638,200000,2000,72000,2013-07-01,2014-01-01
354,0,East,Insurance_details_US_East_day0.csv,654.0,486.0,2,1034,500000,5000,60000,2013-03-31,2013-09-25
355,0,East,Insurance_details_US_East_day0.csv,491.0,465.0,2,264,500000,5000,60000,2009-03-31,2009-09-25
356,0,East,Insurance_details_US_East_day0.csv,80.0,410.0,2,845,500000,5000,60000,2010-01-31,2010-02-28
357,0,East,Insurance_details_US_East_day0.csv,405.0,453.0,2,193,500000,5000,60000,2009-03-31,2009-09-25
358,0,East,Insurance_details_US_East_day0.csv,732.0,504.0,2,448,500000,5000,60000,2011-03-31,2011-09-25
359,0,East,Insurance_details_US_East_day0.csv,1145.0,561.0,2,742,500000,5000,60000,2013-01-31,2013-02-28
360,0,East,Insurance_details_US_East_day0.csv,435.0,458.0,2,347,500000,5000,60000,2011-01-31,2011-02-28
361,0,East,Insurance_details_US_East_day0.csv,505.0,466.0,2,597,500000,5000,60000,2014-07-01,2015-01-01
362,0,East,Insurance_details_US_East_day0.csv,179.0,424.0,2,256,500000,5000,60000,2012-06-30,2012-12-31
363,0,East,Insurance_details_US_East_day0.csv,1021.0,631.0,12,521,200000,2000,72000,2010-03-31,2010-09-25
364,0,East,Insurance_details_US_East_day0.csv,856.0,523.0,2,584,500000,5000,60000,2009-03-31,2009-09-25
365,0,East,Insurance_details_US_East_day0.csv,317.0,352.0,10,376,400000,60000,60000,2010-03-31,2010-09-25
366,0,East,Insurance_details_US_East_day0.csv,1098.0,554.0,2,608,500000,5000,60000,2011-03-31,2011-09-25
367,0,East,Insurance_details_US_East_day0.csv,559.0,359.0,10,578,400000,60000,60000,2012-06-30,2012-12-31
368,0,East,Insurance_details_US_East_day0.csv,141.0,416.0,2,1049,500000,5000,60000,2013-03-31,2013-09-25
369,0,East,Insurance_details_US_East_day0.csv,1112.0,557.0,2,727,500000,5000,60000,2012-06-30,2012-12-31
370,0,East,Insurance_details_US_East_day0.csv,905.0,626.0,12,668,200000,2000,72000,2010-03-31,2010-09-25
371,0,East,Insurance_details_US_East_day0.csv,1056.0,550.0,2,499,500000,5000,60000,2010-03-31,2010-09-25
372,0,East,Insurance_details_US_East_day0.csv,769.0,509.0,2,87,500000,5000,60000,2011-03-31,2011-09-25
373,0,East,Insurance_details_US_East_day0.csv,214.0,431.0,2,6,500000,5000,60000,2013-03-31,2013-09-25
374,0,East,Insurance_details_US_East_day0.csv,4.0,585.0,12,809,200000,2000,72000,2013-03-31,2013-09-25
375,0,East,Insurance_details_US_East_day0.csv,721.0,500.0,2,411,500000,5000,60000,2015-03-31,2015-09-25
376,0,East,Insurance_details_US_East_day0.csv,564.0,472.0,2,238,500000,5000,60000,2011-03-31,2011-09-25
377,0,East,Insurance_details_US_East_day0.csv,777.0,513.0,2,445,500000,5000,60000,2015-03-31,2015-09-25
378,0,East,Insurance_details_US_East_day0.csv,74.0,407.0,2,631,500000,5000,60000,2006-03-31,2006-09-25
379,0,East,Insurance_details_US_East_day0.csv,715.0,496.0,2,640,500000,5000,60000,2015-03-31,2015-09-25
380,0,East,Insurance_details_US_East_day0.csv,597.0,476.0,2,1137,500000,5000,60000,2012-06-30,2012-12-31
381,0,East,Insurance_details_US_East_day0.csv,14.0,331.0,10,69,400000,60000,60000,2015-07-01,2016-01-01
382,0,East,Insurance_details_US_East_day0.csv,123.0,413.0,2,819,500000,5000,60000,2012-06-30,2012-12-31
383,0,East,Insurance_details_US_East_day0.csv,945.0,630.0,12,548,200000,2000,72000,2013-07-01,2014-01-01
384,0,East,Insurance_details_US_East_day0.csv,985.0,542.0,2,37,500000,5000,60000,2010-03-31,2010-09-25
385,0,East,Insurance_details_US_East_day0.csv,579.0,474.0,2,217,500000,5000,60000,2011-03-31,2011-09-25
386,0,East,Insurance_details_US_East_day0.csv,228.0,432.0,2,549,500000,5000,60000,2012-03-30,2012-09-24
387,0,East,Insurance_details_US_East_day0.csv,269.0,441.0,2,838,500000,5000,60000,2013-01-31,2013-02-28
388,0,East,Insurance_details_US_East_day0.csv,621.0,480.0,2,271,500000,5000,60000,2014-03-31,2014-09-25
389,0,East,Insurance_details_US_East_day0.csv,833.0,517.0,2,777,500000,5000,60000,2014-01-31,2014-02-28
390,0,East,Insurance_details_US_East_day0.csv,1152.0,564.0,2,793,500000,5000,60000,2008-03-30,2008-09-24
391,0,East,Insurance_details_US_East_day0.csv,882.0,525.0,2,71,500000,5000,60000,2011-03-31,2011-09-25
392,0,East,Insurance_details_US_East_day0.csv,912.0,530.0,2,965,500000,5000,60000,2016-03-30,2016-09-24
393,0,East,Insurance_details_US_East_day0.csv,653.0,485.0,2,887,500000,5000,60000,2011-03-31,2011-09-25
394,0,East,Insurance_details_US_East_day0.csv,952.0,538.0,2,1122,500000,5000,60000,2012-03-30,2012-09-24
395,0,East,Insurance_details_US_East_day0.csv,1060.0,392.0,10,156,400000,60000,60000,2006-03-31,2006-09-25
396,0,East,Insurance_details_US_East_day0.csv,446.0,356.0,10,484,400000,60000,60000,2013-03-31,2013-09-25
397,0,East,Insurance_details_US_East_day0.csv,637.0,610.0,12,812,200000,2000,72000,2015-03-31,2015-09-25
398,0,East,Insurance_details_US_East_day0.csv,703.0,493.0,2,458,500000,5000,60000,2016-03-30,2016-09-24
399,0,East,Insurance_details_US_East_day0.csv,1006.0,388.0,10,690,400000,60000,60000,2009-03-31,2009-09-25
400,0,East,Insurance_details_US_East_day0.csv,765.0,372.0,10,650,400000,60000,60000,2014-03-31,2014-09-25
401,0,East,Insurance_details_US_East_day0.csv,37.0,404.0,2,450,500000,5000,60000,2012-03-30,2012-09-24
402,0,East,Insurance_details_US_East_day0.csv,997.0,545.0,2,985,500000,5000,60000,2012-03-30,2012-09-24
403,0,East,Insurance_details_US_East_day0.csv,25.0,586.0,12,730,200000,2000,72000,2013-07-01,2014-01-01
404,0,East,Insurance_details_US_East_day0.csv,770.0,510.0,2,1082,500000,5000,60000,2009-01-31,2009-02-28
405,0,East,Insurance_details_US_East_day0.csv,409.0,454.0,2,226,500000,5000,60000,2011-07-02,2012-01-02
406,0,East,Insurance_details_US_East_day0.csv,63.0,590.0,12,155,200000,2000,72000,2011-02-02,2011-03-02
407,0,East,Insurance_details_US_East_day0.csv,655.0,487.0,2,1027,500000,5000,60000,2012-03-30,2012-09-24
408,0,East,Insurance_details_US_East_day0.csv,1099.0,394.0,10,898,400000,60000,60000,2009-01-31,2009-02-28
409,0,East,Insurance_details_US_East_day0.csv,803.0,374.0,10,968,400000,60000,60000,2011-07-01,2012-01-01
410,0,East,Insurance_details_US_East_day0.csv,857.0,620.0,12,912,200000,2000,72000,2009-01-31,2009-02-28
411,0,East,Insurance_details_US_East_day0.csv,896.0,623.0,12,255,200000,2000,72000,2010-03-31,2010-09-25
412,0,East,Insurance_details_US_East_day0.csv,763.0,613.0,12,457,200000,2000,72000,2011-03-31,2011-09-25
413,0,East,Insurance_details_US_East_day0.csv,908.0,379.0,10,148,400000,60000,60000,2009-07-01,2010-01-01
414,0,East,Insurance_details_US_East_day0.csv,447.0,461.0,2,833,500000,5000,60000,2009-01-31,2009-02-28
415,0,East,Insurance_details_US_East_day0.csv,270.0,347.0,10,119,400000,60000,60000,2009-03-31,2009-09-25
416,0,East,Insurance_details_US_East_day0.csv,716.0,497.0,2,232,500000,5000,60000,2009-01-31,2009-02-28
417,0,East,Insurance_details_US_East_day0.csv,124.0,414.0,2,402,500000,5000,60000,2010-03-31,2010-09-25
418,0,East,Insurance_details_US_East_day0.csv,853.0,521.0,2,534,500000,5000,60000,2009-03-31,2009-09-25
419,0,East,Insurance_details_US_East_day0.csv,953.0,385.0,10,515,400000,60000,60000,2011-07-01,2012-01-01
420,0,East,Insurance_details_US_East_day0.csv,311.0,351.0,10,379,400000,60000,60000,2011-07-01,2012-01-01
421,0,East,Insurance_details_US_East_day0.csv,230.0,433.0,2,954,500000,5000,60000,2011-03-31,2011-09-25
422,0,East,Insurance_details_US_East_day0.csv,898.0,624.0,12,1081,200000,2000,72000,2011-07-01,2012-01-01
423,0,East,Insurance_details_US_East_day0.csv,1113.0,558.0,2,470,500000,5000,60000,2014-07-01,2015-01-01
424,0,East,Insurance_details_US_East_day0.csv,209.0,430.0,2,149,500000,5000,60000,2010-03-31,2010-09-25
425,0,East,Insurance_details_US_East_day0.csv,11.0,397.0,2,755,500000,5000,60000,2013-03-31,2013-09-25
426,0,East,Insurance_details_US_East_day0.csv,76.0,591.0,12,975,200000,2000,72000,2009-03-31,2009-09-25
427,0,East,Insurance_details_US_East_day0.csv,89.0,412.0,2,218,500000,5000,60000,2012-03-30,2012-09-24
428,0,East,Insurance_details_US_East_day0.csv,1147.0,562.0,2,749,500000,5000,60000,2011-03-31,2011-09-25
429,0,East,Insurance_details_US_East_day0.csv,507.0,467.0,2,103,500000,5000,60000,2009-03-31,2009-09-25
430,0,East,Insurance_details_US_East_day0.csv,1073.0,393.0,10,25,400000,60000,60000,2010-03-31,2010-09-25
431,0,East,Insurance_details_US_East_day0.csv,581.0,362.0,10,571,400000,60000,60000,2012-03-30,2012-09-24
432,0,East,Insurance_details_US_East_day0.csv,81.0,336.0,10,781,400000,60000,60000,2013-03-31,2013-09-25
433,0,East,Insurance_details_US_East_day0.csv,926.0,533.0,2,758,500000,5000,60000,2013-01-31,2013-02-28
434,0,East,Insurance_details_US_East_day0.csv,436.0,602.0,12,739,200000,2000,72000,2009-07-01,2010-01-01
435,0,East,Insurance_details_US_East_day0.csv,986.0,386.0,10,1103,400000,60000,60000,2009-03-31,2009-09-25
436,0,East,Insurance_details_US_East_day0.csv,628.0,481.0,2,642,500000,5000,60000,2010-01-31,2010-02-28
437,0,East,Insurance_details_US_East_day0.csv,733.0,505.0,2,751,500000,5000,60000,2011-03-31,2011-09-25
438,0,East,Insurance_details_US_East_day0.csv,16.0,332.0,10,5,400000,60000,120000,2009-03-31,2009-09-25
439,0,East,Insurance_details_US_East_day0.csv,492.0,605.0,12,150,200000,2000,72000,2012-06-30,2012-12-31
440,0,East,Insurance_details_US_East_day0.csv,722.0,501.0,2,913,500000,5000,60000,2009-07-01,2010-01-01
441,0,East,Insurance_details_US_East_day0.csv,791.0,615.0,12,693,200000,2000,72000,2010-03-31,2010-09-25
442,0,East,Insurance_details_US_East_day0.csv,615.0,365.0,10,866,400000,60000,60000,2014-03-31,2014-09-25
443,0,East,Insurance_details_US_East_day0.csv,265.0,346.0,10,792,400000,60000,60000,2011-03-31,2011-09-25
444,0,East,Insurance_details_US_East_day0.csv,466.0,463.0,2,712,500000,5000,60000,2011-03-31,2011-09-25
445,0,East,Insurance_details_US_East_day0.csv,657.0,489.0,2,906,500000,5000,60000,2012-03-30,2012-09-24
446,0,East,Insurance_details_US_East_day0.csv,942.0,383.0,10,543,400000,60000,60000,2013-03-31,2013-09-25
447,0,East,Insurance_details_US_East_day0.csv,164.0,420.0,2,731,500000,5000,60000,2017-03-31,2017-09-25
448,0,East,Insurance_details_US_East_day0.csv,29.0,587.0,12,919,200000,2000,72000,2008-06-30,2008-12-31
449,0,East,Insurance_details_US_East_day0.csv,829.0,376.0,10,96,400000,60000,60000,2014-03-31,2014-09-25
450,0,East,Insurance_details_US_East_day0.csv,427.0,455.0,2,910,500000,5000,60000,2017-03-31,2017-09-25
451,0,East,Insurance_details_US_East_day0.csv,1057.0,635.0,12,1011,200000,2000,72000,2006-03-31,2006-09-25
452,0,East,Insurance_details_US_East_day0.csv,834.0,518.0,2,192,500000,5000,60000,2011-01-31,2011-02-28
453,0,East,Insurance_details_US_East_day0.csv,247.0,435.0,2,80,500000,5000,60000,2007-01-31,2007-02-28
454,0,East,Insurance_details_US_East_day0.csv,318.0,445.0,2,451,500000,5000,60000,2017-01-31,2017-02-28
455,0,East,Insurance_details_US_East_day0.csv,1051.0,549.0,2,715,500000,5000,60000,2018-03-31,2018-09-25
456,0,East,Insurance_details_US_East_day0.csv,151.0,339.0,10,44,400000,60000,120000,2012-03-30,2012-09-24
457,0,East,Insurance_details_US_East_day0.csv,676.0,368.0,10,278,400000,60000,60000,2014-03-31,2014-09-25
